model_name,piqa_acc_norm,arc_easy_acc,hellaswag_acc_norm,valid_avg,config_name,train_the_cluster1,train_the_cluster2,train_the_cluster3,train_the_cluster4,train_the_cluster5,train_the_cluster6,train_the_cluster7,train_the_cluster8,train_the_cluster9,train_the_cluster10,train_the_cluster11
proxy_350m_32l_cosine_nemotron_cc_244x_n263,66.48531011969530,48.65319865319870,37.98048197570210,51.03966358286540,n263,0.2802,0.0526,0.0586,0.013,0.0256,0.2924,0,0.1204,0.1288,0.0144,0.0138
proxy_350m_32l_cosine_nemotron_cc_244x_n144,64.58106637649620,41.16161616161620,34.534953196574400,46.7592119115623,n144,0.8884,0,0.0204,0.014,0.035,0.0302,0,0,0.0028,0.0002,0.009
proxy_350m_32l_cosine_nemotron_cc_244x_n290,67.13819368879220,52.861952861952900,40.081657040430200,53.3606011970584,n290,0.0016,0.024,0.0514,0,0.1022,0.0374,0.365,0.0502,0.2454,0.0462,0.0766
proxy_350m_32l_cosine_nemotron_cc_244x_n138,66.53971708378670,49.74747474747480,38.77713602867960,51.68810928664700,n138,0.3008,0,0.0516,0.0484,0,0.003,0.0764,0.0622,0.1594,0.296,0.002
proxy_350m_32l_cosine_nemotron_cc_244x_n153,66.37649619151250,53.36700336700340,38.17964548894640,52.64104834915410,n153,0.049,0.3094,0.007,0,0,0,0.6128,0.0094,0,0.0006,0.012
proxy_350m_32l_cosine_nemotron_cc_244x_n412,65.28835690968440,52.14646464646470,38.667596096395100,52.0341392175147,n412,0.0112,0,0.187,0.7168,0,0,0.0404,0,0.0002,0.0444,0
proxy_350m_32l_cosine_nemotron_cc_244x_n210,67.02937976060940,53.40909090909090,40.51981676956780,53.65276247975600,n210,0.023,0.0426,0.0146,0.123,0,0.0032,0.0622,0.1562,0.0264,0.0004,0.5484
proxy_350m_32l_cosine_nemotron_cc_244x_n49,68.06311207834600,53.57744107744110,40.420235012945600,54.0202627229109,n49,0,0,0.3962,0.0056,0.0024,0.0008,0,0,0.0256,0.4346,0.135
proxy_350m_32l_cosine_nemotron_cc_244x_n405,66.81175190424380,48.02188552188550,38.319059948217500,51.0508991247823,n405,0.0164,0,0.043,0.018,0,0,0,0,0.027,0.8954,0
proxy_350m_32l_cosine_nemotron_cc_244x_n77,68.33514689880310,48.98989898989900,39.25512846046610,52.19339144972270,n77,0.0282,0.0004,0.0612,0,0.2216,0.0138,0.0036,0.004,0.1976,0.454,0.0154
proxy_350m_32l_cosine_nemotron_cc_244x_n109,67.79107725788900,45.28619528619530,38.43855805616410,50.50527686674950,n109,0.3282,0,0,0,0,0,0.0032,0.0104,0.0144,0.0364,0.6078
proxy_350m_32l_cosine_nemotron_cc_244x_n296,66.64853101196950,51.936026936026900,39.32483569010160,52.6364645460327,n296,0,0.054,0.316,0.0086,0,0.0002,0.0564,0.0154,0.5454,0.0038,0
proxy_350m_32l_cosine_nemotron_cc_244x_n166,67.79107725788900,50.0,39.006174068910600,52.2657504422665,n166,0.0014,0.071,0,0.1506,0.0252,0,0.0074,0,0,0.7442,0.0002
proxy_350m_32l_cosine_nemotron_cc_244x_n171,66.86615886833520,47.55892255892260,38.109938259310900,50.8450065621896,n171,0.3272,0.0018,0.0044,0.2434,0.005,0.1238,0.0014,0.0302,0.0008,0.2484,0.0132
proxy_350m_32l_cosine_nemotron_cc_244x_n234,66.81175190424380,50.67340067340070,39.24517028480380,52.24344095414940,n234,0,0.0214,0.3008,0,0.0504,0.115,0.0028,0.0054,0.3626,0.139,0.0028
proxy_350m_32l_cosine_nemotron_cc_244x_n438,66.59412404787810,50.252525252525200,38.25931089424420,51.7019867315492,n438,0,0,0.0022,0.4698,0.0004,0.111,0.299,0,0.1118,0.006,0
proxy_350m_32l_cosine_nemotron_cc_244x_n43,68.17192600652880,53.24074074074080,39.364668392750400,53.5924450466733,n43,0.0008,0.0058,0.1292,0.5464,0.0002,0.0158,0.0016,0.0448,0.0304,0.124,0.1008
proxy_350m_32l_cosine_nemotron_cc_244x_n18,67.24700761697500,54.37710437710440,40.49990041824340,54.04133747077430,n18,0.0014,0.0072,0,0,0.0314,0.124,0.041,0.5406,0.003,0.1992,0.0522
proxy_350m_32l_cosine_nemotron_cc_244x_n168,65.83242655059850,46.0016835016835,37.9008165704043,49.9116422075621,n168,0.0788,0.0002,0.0012,0,0.023,0.1534,0,0.0378,0.1622,0.5434,0
proxy_350m_32l_cosine_nemotron_cc_244x_n170,66.37649619151250,53.70370370370370,39.6036646086437,53.22795483462,n170,0.0652,0.0012,0.0422,0.1112,0.2032,0.0296,0.3114,0.0034,0.004,0.1888,0.04
proxy_350m_32l_cosine_nemotron_cc_244x_n261,66.92056583242660,53.661616161616200,40.310695080661200,53.6309590249013,n261,0.0414,0.0002,0.0062,0.0058,0.1152,0.0032,0.2568,0.3052,0.1024,0.1478,0.0158
proxy_350m_32l_cosine_nemotron_cc_244x_n254,66.59412404787810,51.936026936026900,38.88667596096400,52.4722756482897,n254,0.0014,0.0506,0.044,0.2584,0.0032,0.0524,0,0.1552,0.4184,0.0032,0.013
proxy_350m_32l_cosine_nemotron_cc_244x_n269,66.92056583242660,45.496632996633,37.84106751643100,50.0860887818302,n269,0,0.0018,0.0046,0,0,0.0004,0,0,0.1168,0.8702,0.0064
proxy_350m_32l_cosine_nemotron_cc_244x_n280,66.75734494015230,55.092592592592600,41.18701453893650,54.3456506905605,n280,0,0,0.316,0,0,0.0986,0,0.29,0.0046,0.2108,0.08
